Title_German,Title_English,Sentence,FS_Valenz,FS_Arousal
Allerleirauh,All-Kinds-Of-Fur,"Als die Jäger das Mädchen anfassten, erwachte es voll Schrecken und rief ihnen zu „ich bin ein armes Kind, von Vater und Mutter verlassen, erbarmt euch mein und nehmt mich mit.“",-1.5,4.0
Allerleirauh,All-Kinds-Of-Fur,"Da sprachen sie „Allerleirauh, du bist gut für die Küche, komm nur mit, da kannst du die Asche zusammenkehren.“",-1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,Also setzten sie es auf den Wagen und fuhren heim in das königliche Schloss.,1.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Dort wiesen sie ihm ein Ställchen an unter der Treppe, wo kein Tageslicht hinkam, und sagten „Rauhtierchen, da kannst du wohnen und schlafen.“",-2.0,1.5
Allerleirauh,All-Kinds-Of-Fur,"Dann ward es in die Küche geschickt, da trug es Holz und Wasser, schürte das Feuer, rupfte das Federvieh, belas das Gemüs, kehrte die Asche und tat alle schlechte Arbeit.",-1.0,2.5
Allerleirauh,All-Kinds-Of-Fur,Da lebte Allerleirauh lange Zeit recht armselig.,-1.5,1.0
Allerleirauh,All-Kinds-Of-Fur,"Ach, du schöne Königstochter, wie solls mit dir noch werden!",-1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Es geschah aber einmal, dass ein Fest im Schloss gefeiert ward, da sprach sie zum Koch „darf ich ein wenig hinauf gehen und zusehen? ich will mich außen vor die Türe stellen.“",0.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Antwortete der Koch „ja, geh nur hin, aber in einer halben Stunde musst du wieder hier sein und die Asche zusammentragen.“",-0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Da nahm sie ihr Öllämpchen, ging in ihr Ställchen, zog den Pelzrock aus und wusch sich den Ruß von dem Gesicht und den Händen ab, so dass ihre volle Schönheit wieder an den Tag kam.",2.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Dann machte sie die Nuss auf und holte ihr Kleid hervor, das wie die Sonne glänzte.",2.0,3.5
Allerleirauh,All-Kinds-Of-Fur,"Und wie das geschehen war, ging sie hinauf zum Fest, und alle traten ihr aus dem Weg, denn niemand kannte sie, und meinten nicht anders als dass es eine Königstochter wäre.",2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Der König aber kam ihr entgegen, reichte ihr die Hand und tanzte mit ihr, und dachte in seinem Herzen „so schön haben meine Augen noch keine gesehen.“",3.0,4.0
Allerleirauh,All-Kinds-Of-Fur,"Als der Tanz zu Ende war, verneigte sie sich, und wie sich der König umsah, war sie verschwunden, und niemand wusste wohin.",-0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Die Wächter, die vor dem Schlosse standen, wurden gerufen und ausgefragt, aber niemand hatte sie erblickt.",0.0,2.5
Allerleirauh,All-Kinds-Of-Fur,"Sie war aber in ihr Ställchen gelaufen, hatte geschwind ihr Kleid ausgezogen, Gesicht und Hände schwarz gemacht und den Pelzmantel umgetan, und war wieder Allerleirauh.",-1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Als sie nun in die Küche kam, und an ihre Arbeit gehen und die Asche zusammenkehren wollte, sprach der Koch „laß das gut sein bis morgen und koche mir da die Suppe für den König, ich will auch einmal ein bisschen oben zugucken: aber laß mir kein Haar hineinfallen, sonst kriegst du in Zukunft nichts mehr zu essen.“",-2.0,3.5
Allerleirauh,All-Kinds-Of-Fur,"Da ging der Koch fort, und Allerleirauh kochte die Suppe für den König, und kochte eine Brotsuppe, so gut es konnte, und wie sie fertig war, holte es in dem Ställchen seinen goldenen Ring und legte ihn in die Schüssel, in welche die Suppe angerichtet ward.",1.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Als der Tanz zu Ende war, ließ sich der König die Suppe bringen und aß sie, und sie schmeckte ihm so gut, dass er meinte niemals eine bessere Suppe gegessen zu haben.",2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Wie er aber auf den Grund kam, sah er da einen goldenen Ring liegen und konnte nicht begreifen wie er dahin geraten war.",0.0,2.0
Allerleirauh,All-Kinds-Of-Fur,Da befahl er der Koch sollte vor ihn kommen.,0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Der Koch erschrak, wie er den Befehl hörte, und sprach zu Allerleirauh „gewiss hast du ein Haar in die Suppe fallen lassen; wenns wahr ist, so kriegst du Schläge.“",-2.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Als er vor den König kam, fragte dieser wer die Suppe gekocht hätte?",0.0,1.0
Allerleirauh,All-Kinds-Of-Fur,Antwortete der Koch „ich habe sie gekocht.“,-0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Der König aber sprach „das ist nicht wahr, denn sie war auf andere Art und viel besser gekocht als sonst.“",0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Antwortete er „ich muss es gestehen dass ich sie nicht gekocht habe, sondern das Rauhtierchen.“",-0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,Sprach der König „geh und laß es herauf kommen.“,0.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Als Allerleirauh kam, fragte der König „wer bist du?“",0.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"„Ich bin ein armes Kind, das keinen Vater und Mutter mehr hat.“",-2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,Fragte er weiter „wozu bist du in meinem Schloss?“,0.0,1.0
Allerleirauh,All-Kinds-Of-Fur,Antwortete es „ich bin zu nichts gut als dass mir die Stiefeln um den Kopf geworfen werden.“,-2.5,1.5
Allerleirauh,All-Kinds-Of-Fur,"Fragte er weiter „wo hast du den Ring her, der in der Suppe war?“",0.0,2.5
Allerleirauh,All-Kinds-Of-Fur,Antwortete es „von dem Ring weiss ich nichts.“,0.0,1.0
Allerleirauh,All-Kinds-Of-Fur,Also konnte der König nichts erfahren und musste es wieder fortschicken.,-1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Über eine Zeit war wieder ein Fest, da bat Allerleirauh den Koch wie vorigesmal um Erlaubnis zusehen zu dürfen.",0.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Antwortete er „ja, aber komm in einer halben Stunde wieder und koch dem König die Brotsuppe, die er so gerne isst.“",0.5,2.0
Allerleirauh,All-Kinds-Of-Fur,"Da lief es in sein Ställchen, wusch sich geschwind und nahm aus der Nuss das Kleid, das so silbern war wie der Mond, und tat es an.",2.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Da ging sie hinauf, und glich einer Königstochter: und der König trat ihr entgegen und freute sich dass er sie wiedersah, und weil eben der Tanz anhub, so tanzten sie zusammen.",2.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Als aber der Tanz zu Ende war, verschwand sie wieder so schnell dass der König nicht bemerken konnte wo sie hinging.",0.0,2.0
Allerleirauh,All-Kinds-Of-Fur,"Sie sprang aber in ihr Ställchen, und machte sich wieder zum Rauhtierchen, und ging in die Küche, die Brotsuppe zu kochen.",0.0,2.5
Allerleirauh,All-Kinds-Of-Fur,"Als der Koch oben war, holte es das goldene Spinnrad und tat es in die Schüssel, so dass die Suppe darüber angerichtet wurde.",-0.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Danach ward sie dem König gebracht, der aß sie und sie schmeckte ihm so gut, wie das vorigemal, und ließ den Koch kommen, der musste auch diesmal gestehen dass Allerleirauh die Suppe gekocht hätte.",-2.0,2.5
Allerleirauh,All-Kinds-Of-Fur,"Allerleirauh kam da wieder vor den König, aber sie antwortete dass sie nur dazu da wäre, dass ihr die Stiefeln an den Kopf geworfen würden und dass sie von dem goldenen Spinnrädchen gar nichts wüßte.",-1.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Als der König zum drittenmal ein Fest anstellte, da ging es nicht anders als die vorigemale.",0.0,2.5
Allerleirauh,All-Kinds-Of-Fur,"Der Koch sprach zwar „du bist eine Hexe, Rauhtierchen, und tust immer etwas in die Suppe, davon sie so gut wird, und dem König besser schmeckt als was ich koche;“ doch weil es so bat, so ließ er es auf die bestimmte Zeit hingehen.",-0.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Nun zog es ein Kleid an, das wie die Sterne glänzte, und trat damit in den Saal.",1.5,4.0
Allerleirauh,All-Kinds-Of-Fur,Der König tanzte wieder mit der schönen Jungfrau und meinte dass sie noch niemals so schön gewesen wäre.,1.5,3.0
Allerleirauh,All-Kinds-Of-Fur,"Und während er tanzte, steckte er ihr, ohne dass sie es merkte, einen goldenen Ring an den Finger, und hatte befohlen dass der Tanz recht lang währen sollte.",1.0,3.5
Allerleirauh,All-Kinds-Of-Fur,"Wie er zu Ende war, wollte er sie an den Händen fest halten, aber sie riss sich los und sprang so geschwind unter die Leute, dass sie vor seinen Augen verschwand.",-0.5,4.0
Allerleirauh,All-Kinds-Of-Fur,"Sie lief, was sie konnte, in ihr Ställchen unter der Treppe, weil sie aber zu lange und über eine halbe Stunde geblieben war, so konnte sie das schöne Kleid nicht ausziehen, sondern warf nur den Mantel von Pelz darüber, und in der Eile machte sie sich auch nicht ganz rußig, sondern ein Finger blieb weiss.",-0.5,3.5
Allerleirauh,All-Kinds-Of-Fur,"Allerleirauh lief nun in die Küche, kochte dem König die Brotsuppe und legte, wie der Koch fort war, den goldenen Haspel hinein.",0.5,2.5
Allerleirauh,All-Kinds-Of-Fur,"Der König als er den Haspel auf dem Grunde fand, ließ Allerleirauh rufen: da erblickte er den weißen Finger und sah den Ring, den er im Tanze ihr angesteckt hatte.",1.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Da ergriff er sie an der Hand, und hielt sie fest, und als sie sich losmachen und fortspringen wollte, tat sich der Pelzmantel ein wenig auf, und das Sternenkleid schimmerte hervor.",1.5,3.5
Allerleirauh,All-Kinds-Of-Fur,Der König fasste den Mantel und riss ihn ab.,-2.0,4.0
Allerleirauh,All-Kinds-Of-Fur,Da kamen die goldenen Haare hervor und sie stand da in voller Pracht und konnte sich nicht länger verbergen.,3.0,4.5
Allerleirauh,All-Kinds-Of-Fur,"Und als sie Ruß und Asche aus ihrem Gesicht gewischt hatte, da war sie schöner als man noch jemand auf Erden gesehen hat.",3.0,3.0
Allerleirauh,All-Kinds-Of-Fur,"Der König aber sprach „du bist meine liebe Braut, und wir scheiden nimmermehr von einander.“",2.0,1.0
Allerleirauh,All-Kinds-Of-Fur,"Darauf ward die Hochzeit gefeiert, und sie lebten vergnügt bis an ihren Tod.",1.5,1.0
Aschenputtel,Cinderella,"Einem reichen Manne dem wurde seine Frau krank, und als sie fühlte dass ihr Ende heran kam, rief sie ihr einziges Töchterlein zu sich ans Bett und sprach „liebes Kind, bleib fromm und gut, so wird dir der liebe Gott immer beistehen, und ich will vom Himmel auf dich herabblicken, und will um dich sein.“",2.0,1.0
Aschenputtel,Cinderella,Darauf tat sie die Augen zu und verschied.,-3.0,2.5
Aschenputtel,Cinderella,"Das Mädchen ging jeden Tag hinaus zu dem Grabe der Mutter und weinte, und blieb fromm und gut.",1.5,1.5
Aschenputtel,Cinderella,"Als der Winter kam, deckte der Schnee ein weißes Tüchlein auf das Grab, und als die Sonne im Frühjahr es wieder herabgezogen hatte, nahm sich der Mann eine andere Frau.",-1.0,1.5
Aschenputtel,Cinderella,"Die Frau hatte zwei Töchter mit ins Haus gebracht, die schön und weiss von Angesicht waren, aber garstig und schwarz von Herzen.",-2.0,2.5
Aschenputtel,Cinderella,Da ging eine schlimme Zeit für das arme Stiefkind an.,-2.0,2.5
Aschenputtel,Cinderella,"„Soll die dumme Gans bei uns in der Stube sitzen!“ sprachen sie, „wer Brot essen will, muss es verdienen: hinaus mit der Küchenmagd.“",-2.0,2.5
Aschenputtel,Cinderella,"Sie nahmen ihm seine schönen Kleider weg, zogen ihm einen grauen alten Kittel an, und gaben ihm hölzerne Schuhe.",-2.0,2.5
Aschenputtel,Cinderella,"„Seht einmal die stolze Prinzessin, wie sie geputzt ist!“ riefen sie, lachten und führten es in die Küche.",0.5,3.5
Aschenputtel,Cinderella,"Da musste es von Morgen bis Abend schwere Arbeit tun, früh vor Tag aufstehn, Wasser tragen, Feuer anmachen, kochen und waschen.",-1.5,3.5
Aschenputtel,Cinderella,"Obendrein taten ihm die Schwestern alles ersinnliche Herzeleid an, verspotteten es und schütteten ihm die Erbsen und Linsen in die Asche, so dass es sitzen und sie wieder auslesen musste.",-2.0,4.0
Aschenputtel,Cinderella,"Abends, wenn es sich müde gearbeitet hatte, kam es in kein Bett, sondern musste sich neben den Herd in die Asche legen.",-2.0,2.0
Aschenputtel,Cinderella,"Und weil es darum immer staubig und schmutzig aussah, nannten sie es Aschenputtel.",-1.0,2.0
Aschenputtel,Cinderella,"Es trug sich zu, dass der Vater einmal in die Messe ziehen wollte, da fragte er die beiden Stieftöchter was er ihnen mitbringen sollte?",0.0,2.0
Aschenputtel,Cinderella,"„Schöne Kleider“ sagte die eine, „Perlen und Edelsteine“ die zweite.",2.0,2.5
Aschenputtel,Cinderella,"„Aber du, Aschenputtel,“ sprach er, „was willst du haben?“",1.0,2.5
Aschenputtel,Cinderella,"„Vater, das erste Reis, das euch auf eurem Heimweg an den Hut stößt, das brecht für mich ab.“",0.0,2.5
Aschenputtel,Cinderella,"Er kaufte nun für die beiden Stiefschwestern schöne Kleider, Perlen und Edelsteine, und auf dem Rückweg, als er durch einen grünen Busch ritt, streifte ihn ein Haselreis und stieß ihm den Hut ab.",1.0,3.0
Aschenputtel,Cinderella,Da brach er das Reis ab und nahm es mit.,0.0,2.0
Aschenputtel,Cinderella,"Als er nach Haus kam, gab er den Stieftöchtern was sie sich gewünscht hatten, und dem Aschenputtel gab er das Reis von dem Haselbusch.",1.0,1.0
Aschenputtel,Cinderella,"Aschenputtel dankte ihm, ging zu seiner Mutter Grab und pflanzte das Reis darauf, und weinte so sehr, dass die Tränen darauf niederfielen und es begossen.",-2.0,3.0
Aschenputtel,Cinderella,"Es wuchs aber, und ward ein schöner Baum.",1.0,2.0
Aschenputtel,Cinderella,"Aschenputtel ging alle Tage dreimal darunter, weinte und betete, und allemal kam ein weißes Vöglein auf den Baum, und wenn es einen Wunsch aussprach, so warf ihm das Vöglein herab was es sich gewünscht hatte.",2.0,2.5
Aschenputtel,Cinderella,"Es begab sich aber, dass der König ein Fest anstellte, das drei Tage dauern sollte, und wozu alle schönen Jungfrauen im Lande eingeladen wurden, damit sich sein Sohn eine Braut aussuchen möchte.",1.5,2.0
Aschenputtel,Cinderella,"Die zwei Stiefschwestern als sie hörten dass sie auch dabei erscheinen sollten, waren guter Dinge, riefen Aschenputtel, und sprachen „kämm uns die Haare, bürste uns die Schuhe und mache uns die Schnallen fest, wir gehen zur Hochzeit auf des Königs Schloss.“",1.5,3.0
Aschenputtel,Cinderella,"Aschenputtel gehorchte, weinte aber, weil es auch gern zum Tanz mitgegangen wäre, und bat die Stiefmutter sie möchte es ihm erlauben.",-1.0,2.5
Aschenputtel,Cinderella,"„Du Aschenputtel,“ sprach sie, „bist voll Staub und Schmutz und willst zur Hochzeit?",-2.0,3.0
Aschenputtel,Cinderella,"du hast keine Kleider und Schuhe, und willst tanzen!“",-1.5,3.0
Aschenputtel,Cinderella,"Als es aber mit Bitten anhielt, sprach sie endlich „da habe ich dir eine Schüssel Linsen in die Asche geschüttet, wenn du die Linsen in zwei Stunden wieder ausgelesen hast, so sollst du mitgehen.“",-0.5,2.5
Aschenputtel,Cinderella,"Das Mädchen ging durch die Hintertüre nach dem Garten und rief „ihr zahmen Täubchen, ihr Turteltäubchen, all ihr Vöglein unter dem Himmel, kommt und helft mir lesen,  die guten ins Töpfchen, die schlechten ins Kröpfchen.“",1.0,3.0
Aschenputtel,Cinderella,"Da kamen zum Küchenfenster zwei weiße Täubchen herein, und danach die Turteltäubchen, und endlich schwirrten und schwärmten alle Vöglein unter dem Himmel herein, und ließen sich um die Asche nieder.",1.5,3.0
Aschenputtel,Cinderella,"Und die Täubchen nickten mit den Köpfchen und fingen an pik, pik, pik, pik, und da fingen die übrigen auch an pik, pik, pik, pik, und lasen alle guten Körnlein in die Schüssel.",0.0,3.0
Aschenputtel,Cinderella,"Kaum war eine Stunde herum, so waren sie schon fertig und flogen alle wieder hinaus.",1.0,4.0
Aschenputtel,Cinderella,"Da brachte das Mädchen die Schüssel der Stiefmutter, freute sich und glaubte es dürfte nun mit auf die Hochzeit gehen.",2.0,3.0
Aschenputtel,Cinderella,"Aber sie sprach „nein, Aschenputtel, du hast keine Kleider, und kannst nicht tanzen: du wirst nur ausgelacht.“",-2.0,3.5
Aschenputtel,Cinderella,"Als es nun weinte, sprach sie „wenn du mir zwei Schüsseln voll Linsen in einer Stunde aus der Asche rein lesen kannst, so sollst du mitgehen,“ und dachte „das kann es ja nimmermehr.“",0.0,3.0
Aschenputtel,Cinderella,"Als sie die zwei Schüsseln Linsen in die Asche geschüttet hatte, ging das Mädchen durch die Hintertüre nach dem Garten und rief „ihr zahmen Täubchen, ihr Turteltäubchen, all ihr Vöglein unter dem Himmel, kommt und helft mir lesen,  die guten ins Töpfchen, die schlechten ins Kröpfchen.“",0.5,3.5
Aschenputtel,Cinderella,"Da kamen zum Küchenfenster zwei weiße Täubchen herein und danach die Turteltäubchen, und endlich schwirrten und schwärmten alle Vöglein unter dem Himmel herein, und ließen sich um die Asche nieder.",2.0,3.0
Aschenputtel,Cinderella,"Und die Täubchen nickten mit ihren Köpfchen und fingen an pik, pik, pik, pik, und da fingen die übrigen auch an pik, pik, pik, pik, und lasen alle guten Körner in die Schüsseln.",1.0,3.5
Aschenputtel,Cinderella,"Und eh eine halbe Stunde herum war, waren sie schon fertig, und flogen alle wieder hinaus.",1.0,4.0
Aschenputtel,Cinderella,"Da trug das Mädchen die Schüsseln zu der Stiefmutter, freute sich und glaubte nun dürfte es mit auf die Hochzeit gehen.",1.0,3.0
Aschenputtel,Cinderella,"Aber sie sprach „es hilft dir alles nichts: du kommst nicht mit, denn du hast keine Kleider und kannst nicht tanzen; wir müssten uns deiner schämen.“",-1.5,3.5
Aschenputtel,Cinderella,Darauf kehrte sie ihm den Rücken zu und eilte mit ihren zwei stolzen Töchtern fort.,-2.0,3.0
Aschenputtel,Cinderella,"Als nun niemand mehr daheim war, ging Aschenputtel zu seiner Mutter Grab unter den Haselbaum und rief  „Bäumchen, rüttel dich und schüttel dich wirf Gold und Silber über mich.“",1.5,3.0
Aschenputtel,Cinderella,"Da warf ihm der Vogel ein golden und silbern Kleid herunter, und mit Seide und Silber ausgestickte Pantoffeln.",1.5,3.5
Aschenputtel,Cinderella,In aller Eile zog es das Kleid an und ging zur Hochzeit.,0.0,2.0
Aschenputtel,Cinderella,"Seine Schwestern aber und die Stiefmutter kannten es nicht, und meinten es müsste eine fremde Königstochter sein, so schön sah es in dem goldenen Kleide aus.",1.0,2.0
Aschenputtel,Cinderella,An Aschenputtel dachten sie gar nicht und dachten es säße daheim im Schmutz und suchte die Linsen aus der Asche.,-1.0,2.5
Aschenputtel,Cinderella,"Der Königssohn kam ihm entgegen, nahm es bei der Hand und tanzte mit ihm.",1.0,3.0
Aschenputtel,Cinderella,"Er wollte auch mit sonst niemand tanzen, also dass er ihm die Hand nicht los ließ, und wenn ein anderer kam, es aufzufordern, sprach er „das ist meine Tänzerin.“",1.0,3.0
Aschenputtel,Cinderella,"Es tanzte bis es Abend war, da wollte es nach Haus gehen.",1.0,3.0
Aschenputtel,Cinderella,"Der Königssohn aber sprach „ich gehe mit und begleite dich,“ denn er wollte sehen wem das schöne Mädchen angehörte.",1.0,2.0
Aschenputtel,Cinderella,Sie entwischte ihm aber und sprang in das Taubenhaus.,-0.5,3.5
Aschenputtel,Cinderella,Nun wartete der Königssohn bis der Vater kam und sagte ihm das fremde Mädchen wär in das Taubenhaus gesprungen.,-0.5,3.0
Aschenputtel,Cinderella,"Der Alte dachte „sollte es Aschenputtel sein,“ und sie mussten ihm Axt und Hacken bringen, damit er das Taubenhaus entzwei schlagen konnte: aber es war niemand darin.",-1.5,3.0
Aschenputtel,Cinderella,"Und als sie ins Haus kamen, lag Aschenputtel in seinen schmutzigen Kleidern in der Asche, und ein trübes Öllämpchen brannte im Schornstein; denn Aschenputtel war geschwind aus dem Taubenhaus hinten herab gesprungen, und war zu dem Haselbäumchen gelaufen: da hatte es die schönen Kleider abgezogen und aufs Grab gelegt, und der Vogel hatte sie wieder weggenommen, und dann hatte es sich in seinem grauen Kittelchen in die Küche zur Asche gesetzt.",-1.0,2.0
Aschenputtel,Cinderella,"Am andern Tag, als das Fest von neuem anhub, und die Eltern und Stiefschwestern wieder fort waren, ging Aschenputtel zu dem Haselbaum und sprach  „Bäumchen, rüttel dich und schüttel dich, wirf Gold und Silber über mich.“",2.0,3.5
Aschenputtel,Cinderella,"Da warf der Vogel ein noch viel stolzeres Kleid herab, als am vorigen Tag.",1.0,4.0
Aschenputtel,Cinderella,"Und als es mit diesem Kleide auf der Hochzeit erschien, erstaunte jedermann über seine Schönheit.",2.0,3.0
Aschenputtel,Cinderella,"Der Königssohn aber hatte gewartet bis es kam, nahm es gleich bei der Hand und tanzte nur allein mit ihm.",1.0,3.0
Aschenputtel,Cinderella,"Wenn die andern kamen und es aufforderten, sprach er „das ist meine Tänzerin.“",1.0,3.0
Aschenputtel,Cinderella,"Als es nun Abend war, wollte es fort, und der Königssohn ging ihm nach und wollte sehen in welches Haus es ging: aber es sprang ihm fort und in den Garten hinter dem Haus.",0.0,2.5
Aschenputtel,Cinderella,"Darin stand ein schöner großer Baum an dem die herrlichsten Birnen hingen, es kletterte so behend wie ein Eichhörnchen zwischen die Äste, und der Königssohn wusste nicht wo es hingekommen war.",1.0,2.0
Aschenputtel,Cinderella,"Er wartete aber bis der Vater kam und sprach zu ihm „das fremde Mädchen ist mir entwischt, und ich glaube es ist auf den Birnbaum gesprungen.“",-0.5,3.0
Aschenputtel,Cinderella,"Der Vater dachte „sollte es Aschenputtel sein,“ ließ sich die Axt holen und hieb den Baum um, aber es war niemand darauf.",0.0,1.5
